Unnamed: 0,SVM,RF,GB,Arquivo,Dataset,Imputer,Métrica
0,0.7849872773536896,0.7888040712468194,0.7786259541984732,hosp2_PMIVAE_spe.csv,2,PMIVAE,Specificity
1,0.7834394904458599,0.7515923566878981,0.7503184713375797,hosp2_PMIVAE_spe.csv,2,PMIVAE,Specificity
2,0.7414012738853503,0.7337579617834394,0.7694267515923567,hosp2_PMIVAE_spe.csv,2,PMIVAE,Specificity
3,0.7834394904458599,0.7605095541401274,0.7898089171974523,hosp2_PMIVAE_spe.csv,2,PMIVAE,Specificity
4,0.780891719745223,0.7579617834394905,0.7579617834394905,hosp2_PMIVAE_spe.csv,2,PMIVAE,Specificity
0,0.712707182320442,0.430939226519337,0.430939226519337,hosp3_LPMD2_spe.csv,3,LPMD2,Specificity
1,0.6464088397790055,0.3204419889502762,0.3204419889502762,hosp3_LPMD2_spe.csv,3,LPMD2,Specificity
2,0.7237569060773481,0.5580110497237569,0.4917127071823204,hosp3_LPMD2_spe.csv,3,LPMD2,Specificity
3,0.6777777777777778,0.2666666666666666,0.2388888888888889,hosp3_LPMD2_spe.csv,3,LPMD2,Specificity
4,0.7222222222222222,0.4611111111111111,0.4611111111111111,hosp3_LPMD2_spe.csv,3,LPMD2,Specificity
0,0.6153846153846154,0.5384615384615384,0.5384615384615384,hosp4_PMIVAE_sen.csv,4,PMIVAE,Recall
1,0.6153846153846154,0.6153846153846154,0.5384615384615384,hosp4_PMIVAE_sen.csv,4,PMIVAE,Recall
2,0.5384615384615384,0.6923076923076923,0.4615384615384615,hosp4_PMIVAE_sen.csv,4,PMIVAE,Recall
3,0.5714285714285714,0.7142857142857143,0.5714285714285714,hosp4_PMIVAE_sen.csv,4,PMIVAE,Recall
4,0.7142857142857143,0.5,0.6428571428571429,hosp4_PMIVAE_sen.csv,4,PMIVAE,Recall
0,0.7692307692307693,0.4615384615384615,0.6153846153846154,hosp4_KNN_sen.csv,4,KNN,Recall
1,0.6153846153846154,0.6923076923076923,0.4615384615384615,hosp4_KNN_sen.csv,4,KNN,Recall
2,0.4615384615384615,0.7692307692307693,0.6923076923076923,hosp4_KNN_sen.csv,4,KNN,Recall
3,0.7142857142857143,0.5714285714285714,0.5714285714285714,hosp4_KNN_sen.csv,4,KNN,Recall
4,0.7142857142857143,0.6428571428571429,0.7857142857142857,hosp4_KNN_sen.csv,4,KNN,Recall
0,0.7243589743589745,0.7756410256410257,0.7083333333333333,hosp4_SAEI_auc.csv,4,SAEI,AUC
1,0.6891025641025641,0.6987179487179487,0.7211538461538461,hosp4_SAEI_auc.csv,4,SAEI,AUC
2,0.592948717948718,0.7243589743589743,0.733974358974359,hosp4_SAEI_auc.csv,4,SAEI,AUC
3,0.81055900621118,0.7391304347826086,0.7670807453416149,hosp4_SAEI_auc.csv,4,SAEI,AUC
